,avg_unemployment,survey_year,Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Total Unique Fairs Attended,total_apps,Educations Cumulative Gpa,ipp_flag,Internship_binary,binary_cont_education,binary_still_looking,fairs_above_avg,apps_above_avg,Appointment_Count,appointment_binary
5885,4.0,2024,Still Looking,1,Economics,Male,College and Graduate School of Arts & Sciences,0,7,221,3.91,0,1,0,1,1,1,4.0,1
5886,4.0,2024,Still Looking,1,Applied Statistics,Male,College and Graduate School of Arts & Sciences,0,0,0,,0,1,0,1,0,0,0.0,0
5887,4.0,2024,Working,1,Nursing,Female,School of Nursing,1,0,1,,0,1,0,0,0,0,0.0,0
5888,4.0,2024,Still Looking,0,Nursing,Female,School of Nursing,0,0,4,,0,0,0,1,0,0,0.0,0
5889,4.0,2024,Still Looking,0,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,3,70,0.0,0,0,0,1,1,1,0.0,0
5890,4.0,2024,Still Looking,0,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,3,70,,0,0,0,1,1,1,0.0,0
5891,4.0,2024,Working,3,Education - Higher Education,Female,School of Education and Human Development,1,1,10,,0,1,0,0,0,0,0.0,0
5892,4.0,2024,Working,2,American Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0,21,3.5,0,1,0,0,0,0,0.0,0
5893,4.0,2024,Working,3,Psychology,Female,College and Graduate School of Arts & Sciences,1,2,164,,0,1,0,0,1,1,6.0,1
5894,4.0,2024,Working,0,Data Science,Female,School of Data Science,1,1,41,,0,0,0,0,0,0,0.0,0
5895,4.0,2024,Continuing Education,0,East Asian Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0,0,4.0,0,0,1,0,0,0,0.0,0
5896,4.0,2024,Continuing Education,0,East Asian Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0,0,,0,0,1,0,0,0,0.0,0
5897,4.0,2024,Continuing Education,0,East Asian Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0,0,4.09,0,0,1,0,0,0,0.0,0
5898,4.0,2024,Continuing Education,2,Biology,Female,College and Graduate School of Arts & Sciences,0,0,55,4.51,0,1,1,0,0,1,0.0,0
5899,4.0,2024,Continuing Education,2,Biology,Female,College and Graduate School of Arts & Sciences,0,0,55,,0,1,1,0,0,1,0.0,0
5900,4.0,2024,Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0,4,3.6,0,0,0,0,0,0,0.0,0
5901,4.0,2024,Working,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,0,153,,0,1,0,0,0,1,4.0,1
5902,4.0,2024,Working,0,Education - Counselor Education,Female,School of Education and Human Development,1,1,0,,0,0,0,0,0,0,0.0,0
